"Long Beach, California, United States"
Satellite Name,Time,Range (km),Azimuth (deg),Elevation (deg)
COSMOS 1892,"04/18/2024, 20:24:24",1763.83,201.59,7.77
COSMOS 1892,"04/18/2024, 20:26:04",1218.71,221.09,17.62
COSMOS 1892,"04/18/2024, 20:27:44",969.9,262.54,25.31
COSMOS 1892,"04/18/2024, 20:29:24",1217.48,304.16,17.95
COSMOS 1892,"04/18/2024, 20:31:04",1760.95,323.84,8.2
SL-14 R/B,"04/18/2024, 20:24:24",717.09,40.09,56.33
SL-14 R/B,"04/18/2024, 20:26:04",808.77,141.22,46.15
SL-14 R/B,"04/18/2024, 20:27:44",1024.15,154.79,32.56
SL-14 R/B,"04/18/2024, 20:29:24",635.71,102.24,71.9
SL-14 R/B,"04/18/2024, 20:31:04",905.1,1.81,39.38
SL-14 R/B,"04/18/2024, 20:32:44",1512.92,354.34,17.77
SL-14 R/B,"04/18/2024, 20:34:24",2189.87,352.14,7.03
SL-8 R/B,"04/18/2024, 20:24:24",1148.38,194.82,54.16
SL-8 R/B,"04/18/2024, 20:26:04",1606.91,185.31,31.07
SL-8 R/B,"04/18/2024, 20:27:44",2180.52,182.35,17.52
SL-8 R/B,"04/18/2024, 20:29:24",1708.7,188.02,28.01
SL-8 R/B,"04/18/2024, 20:31:04",1244.05,204.13,47.18
SL-8 R/B,"04/18/2024, 20:32:44",1060.37,265.08,63.44
SL-8 R/B,"04/18/2024, 20:34:24",1285.66,319.62,45.05
SL-8 R/B,"04/18/2024, 20:36:04",1768.24,334.0,26.8
SL-8 R/B,"04/18/2024, 20:37:44",2351.47,339.89,15.08
SL-8 R/B,"04/18/2024, 20:39:24",2972.42,343.19,6.88
SL-16 R/B,"04/18/2024, 20:24:24",2599.63,36.8,8.39
SL-16 R/B,"04/18/2024, 20:26:04",2535.34,53.17,9.15
SL-16 R/B,"04/18/2024, 20:27:44",2633.96,69.3,7.89
SL-16 R/B,"04/18/2024, 20:24:24",2037.39,328.14,16.74
SL-16 R/B,"04/18/2024, 20:26:04",2373.32,344.63,11.45
CZ-4B R/B,"04/18/2024, 20:24:24",1534.66,141.46,29.53
CZ-4B R/B,"04/18/2024, 20:26:04",2084.61,151.74,16.72
CZ-4B R/B,"04/18/2024, 20:27:44",2693.81,156.93,7.91
SL-27 R/B,"04/18/2024, 20:24:24",1074.14,15.86,14.99
CZ-4B R/B,"04/18/2024, 20:26:04",1819.23,169.44,9.99
CZ-4B R/B,"04/18/2024, 20:27:44",1144.02,171.05,24.34
CZ-4B R/B,"04/18/2024, 20:29:24",613.62,180.25,62.32
CZ-4B R/B,"04/18/2024, 20:31:04",722.55,341.09,47.28
CZ-4B R/B,"04/18/2024, 20:32:44",1319.6,345.7,19.2
CZ-4B R/B,"04/18/2024, 20:34:24",2004.26,347.06,7.29
CZ-2C R/B,"04/18/2024, 20:29:24",936.19,200.21,13.25
CZ-2C R/B,"04/18/2024, 20:31:04",524.23,259.02,30.2
CZ-2C R/B,"04/18/2024, 20:32:44",913.55,320.6,14.04
COSMOS 2550,"04/18/2024, 20:31:04",1559.51,200.93,10.92
COSMOS 2550,"04/18/2024, 20:32:44",1203.6,230.55,18.17
COSMOS 2550,"04/18/2024, 20:34:24",1257.85,269.47,16.99
COSMOS 2550,"04/18/2024, 20:36:04",1681.85,295.22,9.33
CZ-2C R/B,"04/18/2024, 20:32:44",1351.08,38.9,9.04
CUSAT 2 & FALCON 9 R/B,"04/18/2024, 20:34:24",1536.36,68.35,16.36
CUSAT 2 & FALCON 9 R/B,"04/18/2024, 20:36:04",1897.51,46.41,9.41
OKEAN-O,"04/18/2024, 20:37:44",2264.45,16.75,7.02
OKEAN-O,"04/18/2024, 20:39:24",1744.67,30.6,14.54
OKEAN-O,"04/18/2024, 20:41:04",1388.67,55.05,22.15
CZ-4B R/B,"04/18/2024, 20:37:44",2384.6,162.79,11.96
CZ-4B R/B,"04/18/2024, 20:39:24",1752.39,161.95,23.54
CZ-4B R/B,"04/18/2024, 20:41:04",1197.34,159.41,43.79
CZ-4B R/B,"04/18/2024, 20:42:44",889.69,125.86,81.08
CZ-4B R/B,"04/18/2024, 20:44:24",1072.55,353.36,52.45
CZ-4B R/B,"04/18/2024, 20:46:04",1582.58,349.46,28.01
CZ-4B R/B,"04/18/2024, 20:47:44",2199.44,348.48,14.72
CZ-4B R/B,"04/18/2024, 20:49:24",2849.86,348.16,6.04
SL-12 R/B(2),"04/18/2024, 20:41:04",2599.93,288.19,7.69
SL-12 R/B(2),"04/18/2024, 20:42:44",2481.87,304.54,9.13
SL-12 R/B(2),"04/18/2024, 20:44:24",2531.39,321.35,8.48
SL-12 R/B(2),"04/18/2024, 20:46:04",2738.15,336.46,6.02
ARIANE 40+ R/B,"04/18/2024, 20:42:44",2528.82,59.95,7.08
COSMOS 1833,"04/18/2024, 20:52:44",2268.06,326.04,12.8
COSMOS 1833,"04/18/2024, 20:54:24",1698.57,318.04,23.47
COSMOS 1833,"04/18/2024, 20:56:04",1240.92,299.06,38.9
COSMOS 1833,"04/18/2024, 20:57:44",1058.97,250.62,49.83
COSMOS 1833,"04/18/2024, 20:59:24",1278.03,205.69,36.84
COSMOS 1833,"04/18/2024, 21:01:04",1752.12,188.58,21.82
COSMOS 1833,"04/18/2024, 21:02:44",2327.2,181.08,11.52
COSMOS 1833,"04/18/2024, 21:04:24",2434.45,181.19,10.04
COSMOS 1833,"04/18/2024, 21:06:04",1865.4,191.39,19.37
COSMOS 1833,"04/18/2024, 21:07:44",1419.86,211.71,31.22
COSMOS 1833,"04/18/2024, 21:09:24",1244.82,250.34,38.52
COSMOS 1833,"04/18/2024, 21:11:04",1443.48,287.99,30.66
COSMOS 1833,"04/18/2024, 21:12:44",1900.09,307.48,19.02
COSMOS 1833,"04/18/2024, 21:14:24",2472.05,317.42,9.93
ARIANE 40 R/B,"04/18/2024, 20:56:04",2355.81,47.96,9.31
SL-16 R/B,"04/18/2024, 20:57:44",2001.89,66.69,17.17
SL-16 R/B,"04/18/2024, 20:59:24",1964.51,43.51,17.92
SL-16 R/B,"04/18/2024, 21:01:04",2173.24,22.59,14.35
SL-16 R/B,"04/18/2024, 21:02:44",2567.2,7.44,8.83
ATLAS CENTAUR 2,"04/18/2024, 21:01:04",2236.67,248.27,12.13
ATLAS CENTAUR 2,"04/18/2024, 21:02:44",1651.3,242.45,21.42
ATLAS CENTAUR 2,"04/18/2024, 21:04:24",1139.82,228.39,36.08
ATLAS CENTAUR 2,"04/18/2024, 21:06:04",847.74,181.67,52.78
SL-8 R/B,"04/18/2024, 21:01:04",1953.88,349.25,9.58
SL-8 R/B,"04/18/2024, 21:02:44",1424.0,334.24,20.6
SL-8 R/B,"04/18/2024, 21:04:24",1114.48,301.42,32.52
SL-8 R/B,"04/18/2024, 21:06:04",1218.1,257.26,30.46
SL-8 R/B,"04/18/2024, 21:07:44",1662.81,232.42,19.5
SL-8 R/B,"04/18/2024, 21:09:24",2255.11,220.93,10.5
COSMOS 2550,"04/18/2024, 21:04:24",1842.75,257.68,6.97
SL-14 R/B,"04/18/2024, 21:11:04",2257.94,8.5,7.14
SL-14 R/B,"04/18/2024, 21:12:44",1582.31,6.82,17.77
SL-14 R/B,"04/18/2024, 21:14:24",971.04,1.29,38.45
SL-14 R/B,"04/18/2024, 21:16:04",659.83,276.34,76.6
SL-14 R/B,"04/18/2024, 21:17:44",993.91,204.16,36.89
CZ-4B R/B,"04/18/2024, 21:11:04",2368.83,345.55,11.48
CZ-4B R/B,"04/18/2024, 21:12:44",1755.61,341.86,22.46
CZ-4B R/B,"04/18/2024, 21:14:24",1221.04,332.09,40.7
CZ-4B R/B,"04/18/2024, 21:16:04",925.08,283.11,66.19
CZ-4B R/B,"04/18/2024, 21:17:44",1088.33,204.48,48.94
CZ-4B R/B,"04/18/2024, 21:19:24",1573.03,189.49,27.21
CZ-4B R/B,"04/18/2024, 21:11:04",2058.62,322.61,7.1
CZ-4B R/B,"04/18/2024, 21:11:04",1941.63,323.57,8.13
CZ-4B R/B,"04/18/2024, 21:12:44",1467.45,304.81,15.92
CZ-4B R/B,"04/18/2024, 21:14:24",1253.68,272.67,21.0
CZ-4B R/B,"04/18/2024, 21:16:04",1425.42,239.22,16.9
CZ-4B R/B,"04/18/2024, 21:17:44",1878.33,218.94,9.13
TERRA,"04/18/2024, 21:12:44",2371.54,24.77,7.39
TERRA,"04/18/2024, 21:14:24",1950.73,40.38,13.21
SL-16 R/B,"04/18/2024, 21:19:24",2203.26,47.58,13.98
SL-16 R/B,"04/18/2024, 21:21:04",2334.41,28.14,12.06
SL-16 R/B,"04/18/2024, 21:22:44",2654.29,12.51,7.89
ARIANE 40 R/B,"04/18/2024, 21:19:24",2151.92,37.83,13.04
ARIANE 40 R/B,"04/18/2024, 21:21:04",2533.02,22.41,7.86
SL-14 R/B,"04/18/2024, 21:24:24",1340.02,207.9,23.4
SL-14 R/B,"04/18/2024, 21:26:04",856.62,234.07,46.13
SL-14 R/B,"04/18/2024, 21:27:44",826.92,316.37,48.92
SL-14 R/B,"04/18/2024, 21:29:24",1282.42,347.11,25.38
SL-14 R/B,"04/18/2024, 21:31:04",1898.28,355.93,12.08
CUSAT 2 & FALCON 9 R/B,"04/18/2024, 21:27:44",1773.26,10.95,10.63
CUSAT 2 & FALCON 9 R/B,"04/18/2024, 21:29:24",1112.47,8.86,26.83
CUSAT 2 & FALCON 9 R/B,"04/18/2024, 21:31:04",638.07,351.32,68.13
SL-16 R/B,"04/18/2024, 21:37:44",2532.57,8.13,9.4
SL-16 R/B,"04/18/2024, 21:39:24",2116.79,21.96,15.43
SL-16 R/B,"04/18/2024, 21:41:04",1848.31,41.95,20.41
SL-27 R/B,"04/18/2024, 21:37:44",1296.04,291.04,10.4
CZ-4B R/B,"04/18/2024, 21:41:04",1918.73,207.16,19.0
CZ-4B R/B,"04/18/2024, 21:42:44",1496.05,227.45,29.56
CZ-4B R/B,"04/18/2024, 21:44:24",1331.22,262.8,35.58
CZ-4B R/B,"04/18/2024, 21:46:04",1511.71,297.51,29.06
CZ-4B R/B,"04/18/2024, 21:47:44",1941.3,317.2,18.54
CZ-4B R/B,"04/18/2024, 21:49:24",2490.5,327.79,9.84
ATLAS CENTAUR 2,"04/18/2024, 21:44:24",1379.88,248.07,25.29
ATLAS CENTAUR 2,"04/18/2024, 21:46:04",2028.52,255.78,13.06
SL-8 R/B,"04/18/2024, 21:54:24",2356.83,264.16,7.53
SL-8 R/B,"04/18/2024, 21:56:04",2181.07,282.62,8.8
SL-8 R/B,"04/18/2024, 21:57:44",2210.02,302.12,7.46
TERRA,"04/18/2024, 21:54:24",1528.3,14.83,21.53
TERRA,"04/18/2024, 21:56:04",2121.78,3.97,10.67
OKEAN-O,"04/18/2024, 21:56:04",895.41,276.52,42.94
OKEAN-O,"04/18/2024, 21:57:44",1253.41,317.12,26.12
OKEAN-O,"04/18/2024, 21:59:24",1835.97,331.11,12.99
ARIANE 40 R/B,"04/18/2024, 21:57:44",1510.52,18.08,24.94
ARIANE 40 R/B,"04/18/2024, 21:59:24",2070.09,5.6,13.44
CZ-4B R/B,"04/18/2024, 21:59:24",2788.09,318.4,6.79
CZ-4B R/B,"04/18/2024, 22:01:04",2392.92,305.31,11.85
CZ-4B R/B,"04/18/2024, 22:02:44",2146.85,287.54,15.66
CZ-4B R/B,"04/18/2024, 22:04:24",2105.4,266.76,16.38
CZ-4B R/B,"04/18/2024, 22:06:04",2279.83,247.43,13.54
CZ-4B R/B,"04/18/2024, 22:07:44",2625.55,232.55,8.77
SL-14 R/B,"04/18/2024, 22:01:04",2204.08,288.79,6.7
SL-14 R/B,"04/18/2024, 22:02:44",2172.47,269.01,7.02
SL-16 R/B,"04/18/2024, 22:04:24",2753.2,342.03,6.61
SL-16 R/B,"04/18/2024, 22:06:04",2127.27,343.95,15.1
SL-16 R/B,"04/18/2024, 22:07:44",1535.55,347.49,28.06
SL-16 R/B,"04/18/2024, 22:09:24",1049.3,357.97,51.28
CZ-2C R/B,"04/18/2024, 22:04:24",1490.15,309.74,6.97
SL-14 R/B,"04/18/2024, 22:06:04",2245.84,271.86,6.15
SL-8 R/B,"04/18/2024, 22:06:04",2974.53,290.31,6.68
SL-8 R/B,"04/18/2024, 22:07:44",2951.06,276.09,6.9
