"Claremont, California, 91711, United States"
Satellite Name,Time,Range (km),Azimuth (deg),Elevation (deg)
SL-14 R/B,"04/18/2024, 20:21:54",1447.34,2.34,19.22
SL-14 R/B,"04/18/2024, 20:23:34",872.39,14.22,41.53
SL-14 R/B,"04/18/2024, 20:25:14",662.27,112.71,65.17
SL-14 R/B,"04/18/2024, 20:26:54",1063.99,157.92,30.76
SL-14 R/B,"04/18/2024, 20:28:34",776.5,153.04,49.11
SL-14 R/B,"04/18/2024, 20:30:14",670.1,11.86,63.87
SL-14 R/B,"04/18/2024, 20:31:54",1163.47,354.26,27.29
SL-14 R/B,"04/18/2024, 20:33:34",1818.16,351.62,12.16
HST,"04/18/2024, 20:21:54",1436.18,237.1,15.22
HST,"04/18/2024, 20:23:34",1907.1,252.11,7.66
SL-8 R/B,"04/18/2024, 20:21:54",1070.1,323.67,62.4
SL-8 R/B,"04/18/2024, 20:23:34",1035.95,217.01,66.65
SL-8 R/B,"04/18/2024, 20:25:14",1387.67,190.95,39.44
SL-8 R/B,"04/18/2024, 20:26:54",1921.99,185.27,22.66
SL-8 R/B,"04/18/2024, 20:28:34",2026.8,185.97,20.43
SL-8 R/B,"04/18/2024, 20:30:14",1491.87,195.87,35.09
SL-8 R/B,"04/18/2024, 20:31:54",1133.77,225.99,55.47
SL-8 R/B,"04/18/2024, 20:33:34",1138.19,296.29,55.33
SL-8 R/B,"04/18/2024, 20:35:14",1501.46,326.01,35.12
SL-8 R/B,"04/18/2024, 20:36:54",2037.43,335.9,20.64
SL-8 R/B,"04/18/2024, 20:38:34",2639.13,340.74,10.93
OKEAN-O,"04/18/2024, 20:21:54",1965.7,36.63,10.96
SL-16 R/B,"04/18/2024, 20:21:54",1911.95,293.09,19.05
SL-16 R/B,"04/18/2024, 20:23:34",1935.85,316.09,18.61
SL-16 R/B,"04/18/2024, 20:25:14",2171.73,335.76,14.46
SL-16 R/B,"04/18/2024, 20:26:54",2559.15,349.99,8.97
CZ-4B R/B,"04/18/2024, 20:21:54",1038.57,90.16,55.51
CZ-4B R/B,"04/18/2024, 20:23:34",1302.8,135.39,38.31
CZ-4B R/B,"04/18/2024, 20:25:14",1806.03,150.01,22.28
CZ-4B R/B,"04/18/2024, 20:26:54",2399.51,156.41,11.74
SL-27 R/B,"04/18/2024, 20:21:54",810.89,97.7,22.59
SL-27 R/B,"04/18/2024, 20:23:34",797.16,33.98,23.39
SL-27 R/B,"04/18/2024, 20:25:14",1331.22,3.36,9.97
SL-16 R/B,"04/18/2024, 20:23:34",2637.48,28.98,7.94
SL-16 R/B,"04/18/2024, 20:25:14",2491.36,45.01,9.74
